Source,Target,Weight,Lon,Lat
MOU,PQS,1,-7.222334537,38.29755475
MOU,SCM,1,-7.222334537,38.29755475
MOU,SMK,1,-7.222334537,38.29755475
NUI,BRW,1,177.1461122,-7.22075985
PIZ,PHO,1,-93.6480191,45.6980214
PQS,ANI,1,88.3738598,22.5405657
PQS,KOT,1,88.3738598,22.5405657
RDB,SHG,1,-162.9027778,68.0311111
RSH,MLL,1,6.772218715,51.2424615
SHG,ABL,1,103.97484,20.85148
SMK,EMK,1,120.5681364,15.16892845
SMK,WBB,1,120.5681364,15.16892845
TLT,AKI,1,44.7200922,13.7003935
UNK,EMK,1,122.7746771,63.88721485
WBB,EMK,1,-162.285764,63.5155071
WTL,KWN,1,-162.6565166,60.3504323
RSN,YLW,1,57.2438189,35.1595805
YIP,YYZ,1,4.376110911,50.8384821
APA,SAN,1,23.2028632,47.76324
BUR,SJC,1,109.492143,52.7182426
HHR,ONT,1,104.999927,35.000074
LGB,ONT,1,-118.1534124,33.81683295
MHT,TEB,1,43.292241,14.337008
ONT,VNY,1,-79.645729,43.590338
SAN,APA,1,127.7965435,35.7724185
TEB,IAD,1,-74.06353615,40.84951
TKF,SBA,1,88.9158609,22.5879409
VNY,AZ3,1,-118.4901484,34.20713175
VNY,SFO,1,-118.4901484,34.20713175
PHX,BOI,1,-112.0094218,33.43290795
YAK,CDV,1,101.8839031,35.9800081
ELM,CMH,1,0.1717955,52.6412325
IAD,PQI,1,-77.45342298,38.95226625
JAX,ALB,1,3.6168847,45.1683631
RIC,BUF,1,-82.5302254,40.776322
SCE,CLE,1,-77.84864761,40.850333
PBI,MCO,1,99.6044376,13.0692869
SJC,DEN,1,-121.929329,37.3633241
MYK,GKN,1,41.4430157,42.7602538
BGR,RIC,1,-68.81941486,44.8072619
BNA,IAD,1,-86.68308703,36.11958985
CAK,DCA,1,16.5136076,47.353935
CVG,TUL,1,-84.66516173,39.04990715
EWR,ORD,1,-74.17725485,40.68906405
GRR,CLE,1,-85.5348824,42.8766147
LEX,CID,1,-84.60492341,38.03481065
LIT,CVG,1,23.7499997,55.3500003
MEM,CLE,1,-89.97689467,35.04625645
PVD,CMH,1,-71.42858822,41.72243995
PVD,RIC,1,-71.42858822,41.72243995
RIC,GSP,1,-82.5302254,40.776322
SAV,TUL,1,-3.522476,58.5953788
SDF,DCA,1,-85.73540756,38.1716962
TUL,VPS,1,37.3690909,53.9570701
DFW,MEM,1,-97.04652205,32.89651945
MSN,ATW,1,98.2031112,19.3927456
PDX,RDM,1,-122.5927798,45.5871326
PSC,GEG,1,-122.6868266,45.5109662
SAT,FNT,1,-7.669948126,40.77782635
SBA,EUG,1,33.1451285,34.9823018
AKN,ANC,1,-156.649387,58.6753166
ILI,PTA,1,81.3235085,43.913273
KNK,NNL,1,-154.7967494,59.4348297
NNL,KNK,1,-154.8394444,59.9788889
PTA,ILI,1,9.3531871,42.4228683
PTA,NNL,1,9.3531871,42.4228683
ABQ,ECP,1,-106.6509851,35.0841034
ABQ,ELP,1,-106.6509851,35.0841034
ABQ,MSP,1,-106.6509851,35.0841034
ALB,ABQ,1,-73.79855564,42.74801595
ALB,MEM,1,-73.79855564,42.74801595
ALB,MKE,1,-73.79855564,42.74801595
ALB,OMA,1,-73.79855564,42.74801595
AMA,BWI,1,35.9239625,31.9515694
AMA,SJC,1,35.9239625,31.9515694
ATL,DSM,1,-75.0000086,10.7500084
ATL,PNS,1,-75.0000086,10.7500084
ATL,SDF,1,-75.0000086,10.7500084
AUS,ORF,1,-97.66500964,30.19348925
BDL,CLT,1,-72.68501994,41.9405835
BDL,DSM,1,-72.68501994,41.9405835
BDL,ELP,1,-72.68501994,41.9405835
BHM,ABQ,1,-86.75154127,33.5635078
BHM,BUR,1,-86.75154127,33.5635078
BHM,CVG,1,-86.75154127,33.5635078
BHM,PHL,1,-86.75154127,33.5635078
BHM,SMF,1,-86.75154127,33.5635078
BNA,ALB,1,-86.68308703,36.11958985
BNA,RNO,1,-86.68308703,36.11958985
BNA,TUL,1,-86.68308703,36.11958985
BOI,IND,1,18.5161494,45.9692795
BOI,PHL,1,18.5161494,45.9692795
BOS,GRR,1,-71.01340799,42.3630236
BOS,ONT,1,-71.01340799,42.3630236
BOS,PBI,1,-71.01340799,42.3630236
BUF,LAX,1,-78.7307523,42.9402016
BUF,MHT,1,-78.7307523,42.9402016
BUF,ORF,1,-78.7307523,42.9402016
BUF,PVD,1,-78.7307523,42.9402016
BUF,RNO,1,-78.7307523,42.9402016
BUR,AMA,1,109.492143,52.7182426
BUR,BWI,1,109.492143,52.7182426
BUR,GSP,1,109.492143,52.7182426
BUR,LBB,1,109.492143,52.7182426
BWI,AMA,1,-76.67104838,39.17452575
CHS,ELP,1,-80.03946503,32.89929845
CHS,PBI,1,-80.03946503,32.89929845
CHS,RDU,1,-80.03946503,32.89929845
CLE,CVG,1,-84.1566341,39.0678155
CLE,DSM,1,-84.1566341,39.0678155
CLE,JAX,1,-84.1566341,39.0678155
CLE,OMA,1,-84.1566341,39.0678155
CLE,SDF,1,-84.1566341,39.0678155
CLT,ATL,1,-80.94574352,35.21074145
CMH,MKE,1,-82.89304061,39.99705605
CMH,SJU,1,-82.89304061,39.99705605
CRP,TUL,1,-97.50657535,27.7702374
CVG,DCA,1,-84.66516173,39.04990715
CVG,OAK,1,-84.66516173,39.04990715
CVG,OMA,1,-84.66516173,39.04990715
CVG,PIT,1,-84.66516173,39.04990715
CVG,SJU,1,-84.66516173,39.04990715
DCA,CHS,1,-117.9199499,33.8063981
DCA,JAX,1,-117.9199499,33.8063981
DCA,ONT,1,-117.9199499,33.8063981
DEN,CRP,1,-104.985798,39.740959
DEN,ISP,1,-104.985798,39.740959
DSM,BOS,1,-93.65927182,41.534256
DSM,GEG,1,-93.65927182,41.534256
DTW,BOS,1,-83.35297538,42.2056991
DTW,DCA,1,-83.35297538,42.2056991
DTW,DSM,1,-83.35297538,42.2056991
DTW,ICT,1,-83.35297538,42.2056991
DTW,MAF,1,-83.35297538,42.2056991
DTW,PHL,1,-83.35297538,42.2056991
DTW,TUL,1,-83.35297538,42.2056991
DTW,TUS,1,-83.35297538,42.2056991
ECP,SAN,1,-85.79665444,30.3608292
ECP,SLC,1,-85.79665444,30.3608292
ELP,DTW,1,6.647791836,52.88669785
ELP,JAX,1,6.647791836,52.88669785
EWR,ABQ,1,-74.17725485,40.68906405
EWR,ATL,1,-74.17725485,40.68906405
EWR,BHM,1,-74.17725485,40.68906405
EWR,OKC,1,-74.17725485,40.68906405
EWR,SJC,1,-74.17725485,40.68906405
FLL,DSM,1,-80.15099673,26.072017
FLL,SNA,1,-80.15099673,26.072017
GEG,CMH,1,-117.5423667,47.62004405
GEG,MAF,1,-117.5423667,47.62004405
GEG,SAT,1,-117.5423667,47.62004405
GRR,SEA,1,-85.5348824,42.8766147
GSP,MSP,1,-82.21722846,34.8954456
GSP,PHX,1,-82.21722846,34.8954456
IAD,RDU,1,-77.45342298,38.95226625
IND,BHM,1,-86.1746933,40.3270127
IND,ELP,1,-86.1746933,40.3270127
ISP,BUF,1,-73.09920018,40.79578465
ISP,ELP,1,-73.09920018,40.79578465
ISP,SAT,1,-73.09920018,40.79578465
ISP,SLC,1,-73.09920018,40.79578465
JAX,TUS,1,3.6168847,45.1683631
IAD,FRA,1,-77.45342298,38.95226625
TEB,LBG,1,-74.06353615,40.84951
BHD,ATL,1,-5.869819381,54.62032935
TEB,ZRH,1,-74.06353615,40.84951
LAS,CVG,1,0.3098676,43.4697786
LAS,HRL,1,0.3098676,43.4697786
LAX,SDF,1,-118.4213763,33.94216755
LBB,ABQ,1,-101.8267058,33.6650235
LBB,BHM,1,-101.8267058,33.6650235
LBB,MCO,1,-101.8267058,33.6650235
LBB,PNS,1,-101.8267058,33.6650235
LGA,SEA,1,-8.455050948,37.13258125
LIT,MSP,1,23.7499997,55.3500003
MAF,PHL,1,-89.9164859,30.02202885
MAF,PNS,1,-89.9164859,30.02202885
MAF,RDU,1,-89.9164859,30.02202885
MDW,ISP,1,16.38565411,48.2020489
MDW,ROC,1,16.38565411,48.2020489
MEM,MSY,1,-89.97689467,35.04625645
MEM,PHL,1,-89.97689467,35.04625645
MEM,SAN,1,-89.97689467,35.04625645
MEM,SJC,1,-89.97689467,35.04625645
MHT,BNA,1,43.292241,14.337008
MHT,HOU,1,43.292241,14.337008
MHT,MSP,1,43.292241,14.337008
MHT,SJC,1,43.292241,14.337008
MKE,ELP,1,-87.89722766,42.9465423
MSP,PDX,1,-93.22092805,44.87801905
MSY,LIT,1,-90.26430439,29.99420015
OAK,SMF,1,-122.2170744,37.7221623
OMA,ALB,1,57.0036901,21.0000287
OMA,SDF,1,57.0036901,21.0000287
ONT,LBB,1,-79.645729,43.590338
ONT,LGA,1,-79.645729,43.590338
ORF,CVG,1,-76.2022963,36.8946697
ORF,IND,1,-76.2022963,36.8946697
ORF,PBI,1,-76.2022963,36.8946697
PDX,AUS,1,-122.5927798,45.5871326
PHL,CLE,1,-75.23521279,39.875018
PHL,DSM,1,-75.23521279,39.875018
PHL,ICT,1,-75.23521279,39.875018
PHL,SEA,1,-75.23521279,39.875018
PHL,SMF,1,-75.23521279,39.875018
PIT,LGA,1,-80.23702449,40.49178275
PWM,CLT,1,-70.31441956,43.6461777
RDU,BUR,1,-78.78723822,35.88036145
RDU,CVG,1,-78.78723822,35.88036145
RDU,JAX,1,-78.78723822,35.88036145
RDU,RSW,1,-78.78723822,35.88036145
RDU,TUS,1,-78.78723822,35.88036145
RIC,SEA,1,-82.5302254,40.776322
RIC,SJC,1,-82.5302254,40.776322
RNO,TPA,1,-119.7733319,39.4986462
ROC,MCI,1,1.4408482,44.8655853
ROC,MKE,1,1.4408482,44.8655853
RSW,LAX,1,-81.75880563,26.53294975
RSW,RNO,1,-81.75880563,26.53294975
RSW,SAT,1,-81.75880563,26.53294975
SAN,BHM,1,127.7965435,35.7724185
SAN,CRP,1,127.7965435,35.7724185
SAN,PVD,1,127.7965435,35.7724185
SAT,CRP,1,-7.669948126,40.77782635
SAT,PIT,1,-7.669948126,40.77782635
SDF,SLC,1,-85.73540756,38.1716962
SDF,SMF,1,-85.73540756,38.1716962
SEA,AMA,1,-122.3080159,47.4475673
SEA,BOI,1,-122.3080159,47.4475673
SEA,CMH,1,-122.3080159,47.4475673
SEA,PVD,1,-122.3080159,47.4475673
SEA,SFO,1,-122.3080159,47.4475673
SFO,BOS,1,95.48990319,65.2729258
SFO,GEG,1,95.48990319,65.2729258
SFO,RSW,1,95.48990319,65.2729258
SFO,TUL,1,95.48990319,65.2729258
SJC,ALB,1,-121.929329,37.3633241
SJC,ORF,1,-121.929329,37.3633241
SJU,ABQ,1,-65.99743037,18.44319945
SJU,DCA,1,-65.99743037,18.44319945
SLC,CRP,1,-111.9798985,40.7900661
SMF,GSP,1,-121.5903703,38.68722345
SMF,RDU,1,-121.5903703,38.68722345
TPA,ONT,1,-82.53492762,27.9791649
TPA,TUS,1,-82.53492762,27.9791649
TUL,MCI,1,37.3690909,53.9570701
TUS,AMA,1,-81.464888,40.3759469
TUS,ELP,1,-81.464888,40.3759469
TUS,MEM,1,-81.464888,40.3759469
TUS,SFO,1,-81.464888,40.3759469
TUS,TPA,1,-81.464888,40.3759469
YYZ,FLL,1,-79.62912913,43.678524
YYZ,HOU,1,-79.62912913,43.678524
YYZ,LAS,1,-79.62912913,43.678524
YYZ,LCK,1,-79.62912913,43.678524
YYZ,YIP,1,-79.62912913,43.678524
YKA,SFO,1,78.4921942,17.3600834
BFI,NCE,1,-122.3008918,47.5298443
NCE,BFI,1,7.213216299,43.6594505
SGD,FLL,1,20.1486016,46.2546312
PPG,APW,1,-170.7159686,-14.3347658
BMA,TEB,1,88.1523538,22.9323943
BQH,PBI,1,0.032359968,51.33050255
BQH,TEB,1,0.032359968,51.33050255
CIW,VNY,1,-117.6366556,33.9493537
FRG,VKO,1,10.4234469,51.0834196
HEL,TEB,1,64,31
HPN,BUD,1,-73.70833334,41.0680174
LIN,TEB,1,32.3925325,60.1853296
MRS,FLL,1,5.213094803,43.4376301
NAS,STL,1,-77.47012287,25.03933675
OPF,FAB,1,12.13631016,49.4131419
PBI,LBG,1,99.6044376,13.0692869
PBI,LTN,1,99.6044376,13.0692869
TEB,ANU,1,-74.06353615,40.84951
TEB,FRA,1,-74.06353615,40.84951
CHA,MAD,1,-85.20163697,35.0323918
CPS,MAD,1,2.220129021,48.6896921
IAD,TLC,1,-77.45342298,38.95226625
LBG,CHA,1,2.438277228,48.95876575
MAD,DTW,1,-83.3937233,39.8868227
MAD,IAD,1,-83.3937233,39.8868227
BED,LAX,1,69.8997711,22.432375
HNL,LAS,1,-157.9184068,21.3217144
HPN,MIA,1,-73.70833334,41.0680174
HPN,SFO,1,-73.70833334,41.0680174
IAD,HPN,1,-77.45342298,38.95226625
IAD,TEB,1,-77.45342298,38.95226625
IND,PHL,1,-86.1746933,40.3270127
LAS,TRM,1,0.3098676,43.4697786
LAX,OAK,1,-118.4213763,33.94216755
LGA,BCT,1,-8.455050948,37.13258125
MDW,SNA,1,16.38565411,48.2020489
MIA,JFK,1,-84.2236524,40.0580258
OPF,MDT,1,12.13631016,49.4131419
PBI,ECP,1,99.6044376,13.0692869
PDK,PHX,1,-84.30284469,33.8759268
PHL,JRA,1,-75.23521279,39.875018
PSP,MDW,1,-116.5096391,33.83029665
SCF,DPA,1,-31.19854123,39.47455555
SFO,SLC,1,95.48990319,65.2729258
SJC,HNL,1,-121.929329,37.3633241
TEB,BUR,1,-74.06353615,40.84951
TEB,MHT,1,-74.06353615,40.84951
TEB,MIA,1,-74.06353615,40.84951
TEB,OPF,1,-74.06353615,40.84951
TEB,RDU,1,-74.06353615,40.84951
TEB,SFO,1,-74.06353615,40.84951
TEB,UT1,1,-74.06353615,40.84951
TLH,TMB,1,-84.35700873,30.40016355
VNY,LIH,1,-118.4901484,34.20713175
BUR,NAS,1,109.492143,52.7182426
EGE,LBG,1,25.52576008,37.6627595
LBG,BOS,1,2.438277228,48.95876575
NAS,TEB,1,-77.47012287,25.03933675
ORL,MHH,1,36.4251709,52.8392765
SAN,YWG,1,127.7965435,35.7724185
SJO,SJC,1,-84.21192521,9.99332715
SXM,EWR,1,-63.11350144,18.04401325
SXM,TEB,1,-63.11350144,18.04401325
TEB,LTN,1,-74.06353615,40.84951
TEB,YVR,1,-74.06353615,40.84951
TMB,NAS,1,113.0819036,-1.46792235
YVR,SAN,1,-123.1798642,49.193044
YVR,SFO,1,-123.1798642,49.193044
BHM,IAH,1,-86.75154127,33.5635078
BOS,CLE,1,-71.01340799,42.3630236
DCA,YYZ,1,-117.9199499,33.8063981
DFW,YYZ,1,-97.04652205,32.89651945
GSP,IAD,1,-82.21722846,34.8954456
MSY,AUS,1,-90.26430439,29.99420015
PIT,ABQ,1,-80.23702449,40.49178275
SEA,OGG,1,-122.3080159,47.4475673
SRQ,YYC,1,-82.55407423,27.39598835
CLT,PVR,1,-80.94574352,35.21074145
DCA,LIR,1,-117.9199499,33.8063981
DTW,MEX,1,-83.35297538,42.2056991
MEX,DEN,1,-99.6899716,19.4839446
MEX,TUL,1,-99.6899716,19.4839446
ROC,MBJ,1,1.4408482,44.8655853
ROC,MEX,1,1.4408482,44.8655853
SAT,SAL,1,-7.669948126,40.77782635
ROC,ILM,1,1.4408482,44.8655853
CPX,SJU,1,-65.30421884,18.31337195
SJU,CPX,1,-65.99743037,18.44319945
SJU,STT,1,-65.99743037,18.44319945
VQS,SIG,1,-65.49260791,18.13462385
VQS,SJU,1,-65.49260791,18.13462385
BFI,YVR,1,-122.3008918,47.5298443
CHA,IAD,1,-85.20163697,35.0323918
HHR,SJC,1,104.999927,35.000074
IAD,PDK,1,-77.45342298,38.95226625
MRY,VNY,1,73.392674,33.9056829
SFO,LAX,1,95.48990319,65.2729258
SFO,PSP,1,95.48990319,65.2729258
SJC,BUR,1,-121.929329,37.3633241
TUS,VNY,1,-81.464888,40.3759469
VNY,RNO,1,-118.4901484,34.20713175
VNY,SAC,1,-118.4901484,34.20713175
VNY,SAN,1,-118.4901484,34.20713175
ABQ,KOA,2,-106.6509851,35.0841034
AUS,LGA,2,-97.66500964,30.19348925
BUF,HNL,2,-78.7307523,42.9402016
HNL,ABQ,2,-157.9184068,21.3217144
MCO,PHX,2,-81.3094431,28.41290355
AUA,ROC,2,30.631109,3.7849947
BUF,LIR,2,-78.7307523,42.9402016
CUN,CLT,2,-74.1666756,5.0000086
CUN,FSD,2,-74.1666756,5.0000086
MEX,MFE,2,-99.6899716,19.4839446
PTY,LAS,2,-79.38150312,9.0668011
HNL,GUM,2,-157.9184068,21.3217144
EIS,SIG,2,14.8288127,46.6640631
JRV,VQS,2,73.3566161,21.8167858
SIG,CPX,2,-0.1906822,35.5305119
SIG,EIS,2,-0.1906822,35.5305119
STT,SJU,2,-64.97245365,18.33476905
ASE,MRY,2,2.304303138,48.84813895
ATL,BUR,2,-75.0000086,10.7500084
BFL,RNO,2,-119.0592237,35.4372678
BUR,SLC,2,109.492143,52.7182426
CLM,SBA,2,-123.5048266,48.12098895
HOU,SJC,2,-95.27692609,29.64714905
SBA,CLM,2,33.1451285,34.9823018
SFO,JAX,2,95.48990319,65.2729258
SFO,SNA,2,95.48990319,65.2729258
SJC,HOU,2,-121.929329,37.3633241
VNY,MSO,2,-118.4901484,34.20713175
VNY,PSP,2,-118.4901484,34.20713175
VNY,SJC,2,-118.4901484,34.20713175
ANU,SJU,2,-1.596091923,42.97685085
AUG,CDW,2,-84.2641951,40.5942186
B21,DXR,2,-0.9860767,12.9296983
BVY,HPN,2,-70.91705846,42.58617415
CDW,B21,2,-74.28152719,40.8726082
DXR,B21,2,-73.4813987,41.37212025
GAI,TEB,2,58.440517,51.471443
HPN,HGR,2,-73.70833334,41.0680174
HPN,SHD,2,-73.70833334,41.0680174
HPN,SYR,2,-73.70833334,41.0680174
LAS,PDK,2,0.3098676,43.4697786
LRM,SJU,2,-68.91333886,18.45180335
MMU,MVY,2,-74.42250941,40.79980845
MVY,MMU,2,-70.61460078,41.3923861
NPT,HPN,2,100.0165659,13.8918425
OXC,EWB,2,-73.1348331,41.479263
SBH,SIG,2,117.0051734,5.595237
SIG,SBH,2,-0.1906822,35.5305119
SYR,HPN,2,-76.11914451,43.1141752
TEB,GAI,2,-74.06353615,40.84951
TEB,IAD,2,-74.06353615,40.84951
APA,HNL,2,23.2028632,47.76324
BFM,OAK,2,6.1365646,46.2045033
IAD,TEB,2,-77.45342298,38.95226625
MRY,AUS,2,73.392674,33.9056829
OGG,LGB,2,-156.4328645,20.89527825
POP,IAD,2,15.05988,51.1074242
SAN,TRM,2,127.7965435,35.7724185
TEB,BUR,2,-74.06353615,40.84951
ASD,PBI,2,-82.2360391,40.7887367
BS3,TLH,2,-1.8951368,52.4807933
MHH,MIA,2,9.8076674,52.3863448
MPB,MPB,2,-80.1775503,25.7834634
HOM,HOM,2,103.3151735,18.67974735
ANC,ANC,2,-77.75,-9.5
ANI,ANI,2,43.5743956,40.5062237
ANI,CHU,2,43.5743956,40.5062237
BET,ANI,2,35.2224417,31.9420729
RSH,KLG,2,6.772218715,51.2424615
SHX,ANI,2,-159.5672581,62.6874591
